Feature,Importance
density_alcohol_interaction,0.16773883
alcohol,0.0802763
volatile_acidity,0.07018763
volatile_acidity_sq,0.051331595
citric_acid,0.045455065
log_residual_sugar,0.04286271
density,0.041439697
residual_sugar,0.03931737
log_free_so2,0.037053265
sulphates,0.036381032
chlorides,0.035993766
free_sulfur_ratio,0.035369985
pH_fixed_acidity_interaction,0.034931514
sulphates_chlorides_ratio,0.034875963
fixed_acidity,0.033492364
total_sulfur_dioxide,0.032971233
total_acidity,0.032617755
free_sulfur_dioxide,0.032426354
sulphates_alcohol_ratio,0.032311667
pH,0.031751633
alcohol_acidity_ratio,0.028283339
wine_type,0.022930965
